# lat lon vals
33.54131 -14.45369 0.00992
33.56118 -16.74117 0.01152
24.18250 -11.18954 0.28604
27.58023 -17.12099 0.02351
31.93804 -14.03687 0.01258
34.20559 -18.86529 0.00776
36.17196 -20.83083 0.01037
34.32492 -15.17645 0.02468
30.50183 -15.67909 0.01479
30.25337 -21.59949 0.01745
34.10343 -16.03725 0.03156
31.38923 -18.12958 0.02032
35.87055 -18.97791 0.01535
30.59979 -13.20794 0.01423
33.18308 -16.01845 0.02672
40.24659 6.15325 0.01588
42.21620 9.26460 0.03142
44.91455 14.09734 0.01727
42.06183 5.61041 0.02031
41.56042 8.25651 0.03244
41.84960 9.60937 0.02545
42.39416 7.51419 0.02808
40.41041 9.61245 0.01145
45.27797 13.82010 0.02870
43.77012 4.77869 0.02121
46.63588 2.56944 0.01340
42.61448 9.20182 0.02487
38.81042 7.51880 0.02138
42.43447 17.58258 0.01789
42.66535 8.39073 0.03109
40.01933 4.04784 0.01291
44.96223 12.37610 0.01338
45.25836 5.52726 0.00967
39.05176 9.93599 0.02225
41.85980 8.14971 0.01994
40.57521 -2.57587 0.01571
40.87746 -4.75162 0.01197
32.91845 -6.70799 0.00000
39.07431 -2.29365 0.01758
45.55760 2.43869 0.01456
41.80077 -7.13709 0.02717
43.96026 -9.11586 0.02744
41.32051 -3.15667 0.01582
37.51148 -4.08336 0.01533
41.25668 -3.97694 0.02104
38.59754 -7.01319 0.02936
44.70542 0.33606 0.02092
43.26553 -6.84644 0.01659
37.66987 -1.64189 0.02391
40.42999 -4.06252 0.02421
43.58095 7.91299 0.01450
44.08905 5.75237 0.01651
42.10237 7.97325 0.00908
47.02376 12.12364 0.01563
45.34661 3.06684 0.01093
47.90555 1.04353 0.02387
44.33746 7.46399 0.01717
40.41003 5.82063 0.01390
44.25092 16.50140 0.01247
50.84433 17.04702 0.02654
44.37090 6.63501 0.04945
41.66594 2.30095 0.02156
46.68222 10.63610 0.04053
46.74850 3.79780 0.04919
40.65497 8.37815 0.02767
43.56911 6.40795 0.05987
46.09996 -6.05961 0.01099
48.39983 -3.12690 0.01185
51.84281 2.31175 0.00823
47.85707 -6.80561 0.01028
47.62068 -4.11727 0.01455
48.04665 -2.56806 0.02056
48.35275 -5.04665 0.01703
46.39236 -2.07970 0.02877
52.08375 1.76467 0.01223
49.17960 -7.59375 0.01554
50.91019 -9.27886 0.02146
48.77471 -3.27678 0.01563
44.37420 -4.24555 0.02543
48.71202 -4.18137 0.04796
45.78560 -7.90204 0.03919
51.48339 -0.08228 0.01785
50.40052 -7.11901 0.03081
44.56925 -1.07722 0.04214
47.90042 -4.26443 0.03498
56.33591 12.84627 0.00671
56.96327 9.99050 0.01076
54.43864 12.86855 0.01840
58.92165 17.15310 0.01834
58.19172 6.83285 0.01157
60.09136 5.57957 0.01955
57.13887 12.29826 0.01390
51.43234 8.94555 0.02836
56.41865 22.53829 0.02382
60.76991 20.35340 0.02843
57.20146 11.22440 0.03787
53.64766 3.36119 0.01982
58.79103 15.74816 0.01833
62.55009 17.78742 0.00817
57.58059 29.41836 0.01504
59.22498 8.29379 0.01704
51.97483 13.43757 0.03126
56.37257 10.77569 0.02721
35.13156 -7.23095 0.01078
37.21124 -4.93708 0.01023
42.44809 1.81160 0.00541
36.61730 -7.99504 0.01230
36.40917 -5.79780 0.01230
36.88254 -4.47513 0.00897
37.14735 -6.58746 0.01116
27.55817 -2.23862 0.29108
30.30029 -7.97417 0.04038
35.40193 -4.22502 0.01281
42.92667 1.30077 0.01485
38.07040 -8.90460 0.00851
40.40616 -11.03731 0.00998
37.64869 -5.04206 0.00656
33.97368 -5.87739 0.01371
33.37234 -14.10341 0.01149
37.56219 -5.84759 0.03059
34.94986 -8.53181 0.01887
41.75395 -1.18251 0.01617
39.69172 -8.75455 0.01957
34.11340 -3.63254 0.03115
36.70711 -5.91554 0.06164
46.51143 8.47766 0.01429
47.02916 6.20666 0.01771
44.97006 8.55530 0.01292
49.70826 12.59444 0.01389
48.24709 3.47047 0.01246
50.58167 1.64668 0.01679
47.26611 8.00324 0.01035
43.08565 6.16680 0.01654
47.06861 17.24450 0.01597
52.93198 16.93469 0.01614
40.58452 -2.29831 0.02319
40.89248 -4.47018 0.02455
39.08597 -2.02329 0.01488
45.52511 2.69365 0.00833
41.82511 -6.86175 0.03487
44.00015 -8.84700 0.01794
41.33034 -2.87441 0.01948
37.52436 -3.81614 0.01621
41.26929 -3.69388 0.03164
38.61168 -6.75132 0.02584
44.68880 0.60959 0.01653
43.29187 -6.56324 0.02974
37.68440 -1.38078 0.01303
40.44312 -3.78275 0.08243
40.37485 -27.21159 0.01240
40.02046 -30.18315 0.00732
40.55419 -38.48172 0.01819
32.36672 -29.13217 0.03109
38.49325 -25.85206 0.01421
40.25742 -32.31130 0.01466
41.39738 -33.86912 0.00943
41.02843 -28.47122 0.01247
36.51871 -27.92731 0.01048
36.48777 -34.25349 0.00896
40.64614 -29.47177 0.00973
37.66215 -31.27605 0.01449
41.51472 -32.51120 0.01115
36.47261 -23.53498 0.01425
39.74836 -29.23275 0.01262
40.64899 -1.49217 0.04243
40.97342 -3.65426 0.03656
39.15655 -1.23703 0.02218
45.46485 3.43136 0.02421
41.93282 -6.06439 0.03195
44.15085 -8.06659 0.01234
41.39613 -2.05526 0.03231
37.59647 -3.04118 0.02483
36.71428 -13.10743 0.03881
37.84231 -21.88488 0.01540
37.65743 -24.52579 0.02425
38.88856 -34.09460 0.01510
30.80521 -24.22236 0.04700
36.09248 -21.01085 0.01390
38.04460 -26.62164 0.01860
39.44118 -28.28038 0.01703
38.55232 -22.88485 0.01654
34.37662 -22.87570 0.01346
34.23713 -28.89265 0.01140
38.24207 -23.81920 0.01554
35.39300 -25.75706 0.02025
45.18699 -18.10247 0.04179
39.42803 -26.77002 0.01443
34.41116 -19.49322 0.01267
37.34188 -23.68611 0.02106
41.71676 -0.46307 0.02173
43.80149 2.40301 0.02696
47.05662 7.65452 0.02234
43.42962 -1.10352 0.02911
43.08440 1.43537 0.01802
43.44730 2.83294 0.01640
43.85627 0.63259 0.01548
41.94163 3.02624 0.01489
47.38825 7.25692 0.02277
44.91989 -1.91274 0.02020
47.17705 -3.85093 0.00985
44.19320 2.30531 0.01910
40.25480 1.01554 0.01113
44.57318 13.08234 0.02094
44.18079 1.47198 0.03697
41.46773 -2.27810 0.03215
46.87593 5.55282 0.04618
46.30568 -1.37892 0.02655
40.46213 3.58952 0.05036
43.37283 1.31526 0.10857
40.57752 1.83245 0.52167
40.57521 -2.57587 0.01680
40.87746 -4.75162 0.01575
39.07431 -2.29365 0.01538
45.55760 2.43869 0.01436
41.80077 -7.13709 0.01597
43.96026 -9.11586 0.02209
41.32051 -3.15667 0.01688
37.51148 -4.08336 0.01485
36.68960 -13.76943 0.01710
34.58108 -5.11586 0.01004
34.83429 -7.19585 0.00668
26.07915 -3.18067 0.00000
28.49406 -8.36895 0.04324
33.10629 -4.89866 0.01056
35.78070 -9.49585 0.00913
38.28498 -11.75684 0.00549
35.36771 -5.66787 0.01208
31.74652 -6.48876 0.01586
31.23635 -14.09609 0.01149
45.91884 0.38847 0.01643
46.28048 -1.94112 0.01806
44.34312 0.70752 0.00991
49.86595 4.76019 0.01483
47.22222 -4.47894 0.02365
49.18652 -6.25989 0.01479
46.65502 -0.21971 0.01611
42.49571 -1.39332 0.02069
47.20958 11.84816 0.01711
46.61950 -1.08691 0.01227
43.80405 -4.85738 0.01905
49.32124 2.99891 0.01930
48.51195 -3.96137 0.01207
42.70190 1.45685 0.01036
45.81226 -1.21418 0.00946
44.76049 8.60546 0.00687
45.28109 6.40659 0.00683
43.26091 8.65991 0.01102
48.05876 12.75631 0.01255
46.54042 3.69001 0.01429
49.03273 1.74408 0.00955
45.51653 8.15405 0.00897
41.49546 6.40257 0.01657
45.34970 17.12671 0.01249
51.56031 17.37508 0.01597
29.95604 -15.39353 0.01155
29.93791 -17.68068 0.01748
21.62434 -12.80347 0.01227
24.45731 -17.97863 0.01448
28.31962 -15.06139 0.00974
30.60635 -19.79267 0.01648
32.79126 -21.90478 0.01224
30.79336 -16.09555 0.00733
26.95087 -16.67835 0.01451
26.76208 -22.05183 0.00879
30.53535 -16.97449 0.01135
27.77220 -18.96606 0.01389
32.48135 -19.99939 0.01547
27.05524 -14.33168 0.02004
29.55432 -16.96755 0.01766
39.18964 -1.23303 0.01425
41.23024 1.43676 0.01576
44.84674 6.91672 0.01201
40.83291 -1.90865 0.01389
40.50445 0.51022 0.02383
40.88273 1.85490 0.02711
41.27450 -0.27217 0.01887
32.91602 -2.95005 0.02263
39.41327 2.02969 0.01711
45.22739 6.52537 0.01546
42.35100 -2.76604 0.01380
44.75992 -4.84206 0.01540
41.63549 1.34362 0.02075
37.85638 0.16862 0.01416
42.21535 12.33555 0.01436
41.61493 0.53236 0.02133
38.97231 -2.88577 0.01535
44.60848 4.70078 0.01733
43.83856 -2.33611 0.01826
38.04203 2.54805 0.02520
40.79651 0.39348 0.03651
28.95999 -13.31764 0.01625
29.00219 -15.53240 0.01892
21.18366 -11.22774 0.01329
23.62306 -15.94234 0.02896
27.35532 -13.06002 0.02197
29.76250 -17.68360 0.02040
32.19355 -19.95251 0.01977
29.81745 -13.96272 0.01150
26.03676 -14.62652 0.01995
25.82604 -20.09254 0.01253
29.58729 -14.82503 0.03666
26.84411 -16.86089 0.02908
31.75443 -17.89304 0.01722
26.14937 -12.43472 0.03698
28.59800 -14.83999 0.02473
50.32049 1.98419 0.01175
50.71877 -0.55407 0.01112
48.62942 2.36403 0.01020
53.78980 6.14275 0.01372
51.65905 -3.25541 0.01107
53.46230 -4.88231 0.01007
51.06396 1.32384 0.00985
46.42994 -0.10490 0.01996
51.29501 13.39441 0.02492
57.12938 10.38476 0.01422
51.04058 0.38944 0.01547
48.00019 -4.14484 0.01597
53.38082 4.49641 0.02050
52.83725 -2.55458 0.01262
